coverage_id|coverage_name|line_of_business|coverage_type|min_limit|max_limit|min_deductible|max_deductible|effective_date|is_active|duck_creek_coverage_code|created_date|modified_date
COV001|Bodily Injury Liability|Auto|Liability|15000|300000|500|2000|2020-01-01|1|DC_COV001|2020-01-01|2020-01-01
COV002|Property Damage Liability|Auto|Liability|10000|100000|500|1500|2020-01-01|1|DC_COV002|2020-01-01|2020-01-01
COV003|Collision|Auto|Physical Damage|500|50000|500|5000|2020-01-01|1|DC_COV003|2020-01-01|2020-01-01
COV004|Comprehensive|Auto|Physical Damage|250|50000|250|3000|2020-01-01|1|DC_COV004|2020-01-01|2020-01-01
COV005|Uninsured Motorist BI|Auto|UM/UIM|15000|300000|0|0|2020-01-01|1|DC_COV005|2020-01-01|2020-01-01
COV006|Uninsured Motorist PD|Auto|UM/UIM|3500|3500|250|250|2020-01-01|1|DC_COV006|2020-01-01|2020-01-01
COV007|Medical Payments|Auto|Medical|1000|10000|0|0|2020-01-01|1|DC_COV007|2020-01-01|2023-03-31
COV008|Personal Injury Protection|Auto|Medical|2500|50000|200|1000|2020-01-01|1|DC_COV008|2020-01-01|2020-01-01
COV009|Rental Reimbursement|Auto|Additional|30|50|0|0|2020-01-01|1|DC_COV009|2020-01-01|2020-01-01
COV010|Roadside Assistance|Auto|Additional|0|0|0|0|2020-01-01|1|DC_COV010|2020-01-01|2020-01-01
COV011|Dwelling Coverage|Homeowners|Property|100000|2000000|1000|5000|2020-01-01|1|DC_COV011|2020-01-01|2020-01-01
COV012|Other Structures|Homeowners|Property|10000|200000|1000|5000|2020-01-01|1|DC_COV012|2020-01-01|2020-01-01
COV013|Personal Property|Homeowners|Contents|25000|500000|500|2500|2020-01-01|1|DC_COV013|2020-01-01|2020-01-01
COV014|Loss of Use|Homeowners|Additional Living|10000|100000|0|0|2020-01-01|1|DC_COV014|2020-01-01|2020-01-01
COV015|Personal Liability|Homeowners|Liability|100000|500000|0|0|2020-01-01|1|DC_COV015|2020-01-01|2020-01-01
COV016|Medical Payments to Others|Homeowners|Medical|1000|5000|0|0|2020-01-01|1|DC_COV016|2020-01-01|2020-01-01
COV017|Scheduled Personal Property|Homeowners|Inland Marine|5000|100000|250|1000|2020-01-01|1|DC_COV017|2020-01-01|2020-01-01
COV018|Water Backup and Sump Overflow|Homeowners|Water|5000|25000|500|2000|2020-01-01|1|DC_COV018|2020-01-01|2020-01-01
COV019|Identity Theft|Homeowners|Additional|15000|15000|0|0|2020-01-01|1|DC_COV019|2020-01-01|2023-06-13
COV020|Equipment Breakdown Home|Homeowners|Additional|5000|100000|500|2000|2020-01-01|1|DC_COV020|2020-01-01|2020-01-01
COV021|Commercial Property|Commercial|Property|50000|5000000|2500|25000|2020-01-01|1|DC_COV021|2020-01-01|2020-01-01
COV022|Commercial General Liability|Commercial|Liability|500000|5000000|0|0|2020-01-01|1|DC_COV022|2020-01-01|2020-01-01
COV023|Commercial Auto|Commercial|Auto|100000|1000000|1000|5000|2020-01-01|1|DC_COV023|2020-01-01|2023-12-11
COV024|Workers Compensation|Commercial|WC|0|0|0|0|2020-01-01|1|DC_COV024|2020-01-01|2020-01-01
COV025|Business Owners Policy|Commercial|BOP|50000|2000000|2500|10000|2020-01-01|1|DC_COV025|2020-01-01|2020-01-01
COV026|Commercial Umbrella|Commercial|Umbrella|1000000|10000000|0|0|2020-01-01|1|DC_COV026|2020-01-01|2020-01-01
COV027|Directors and Officers|Commercial|D&O|500000|10000000|5000|25000|2020-01-01|1|DC_COV027|2020-01-01|2020-01-01
COV028|Employment Practices Liability|Commercial|EPLI|100000|2000000|2500|10000|2020-01-01|1|DC_COV028|2020-01-01|2020-01-01
COV029|Cyber Liability|Commercial|Cyber|250000|5000000|5000|25000|2020-01-01|1|DC_COV029|2020-01-01|2020-01-01
COV030|Professional Liability E&O|Commercial|E&O|250000|5000000|2500|10000|2020-01-01|1|DC_COV030|2020-01-01|2020-01-01
COV031|Inland Marine|Commercial|Inland Marine|25000|500000|1000|5000|2020-01-01|1|DC_COV031|2020-01-01|2020-01-01
COV032|Crime Coverage|Commercial|Crime|25000|500000|2500|10000|2020-01-01|1|DC_COV032|2020-01-01|2023-03-22
COV033|Equipment Breakdown Commercial|Commercial|Equipment|25000|500000|1000|5000|2020-01-01|1|DC_COV033|2020-01-01|2020-01-01
COV034|Business Interruption|Commercial|BI|50000|2000000|2500|10000|2020-01-01|1|DC_COV034|2020-01-01|2024-09-25
COV035|Flood Commercial|Commercial|Flood|50000|500000|5000|25000|2020-01-01|1|DC_COV035|2020-01-01|2024-01-06
COV036|Gap Insurance|Auto|Physical Damage|0|30000|0|0|2020-01-01|1|DC_COV036|2020-01-01|2020-01-01
COV037|New Car Replacement|Auto|Physical Damage|0|75000|500|2000|2020-01-01|1|DC_COV037|2020-01-01|2020-01-01
COV038|Custom Parts Equipment|Auto|Physical Damage|1000|5000|500|500|2020-01-01|1|DC_COV038|2020-01-01|2020-01-01
COV039|Sound System Coverage|Auto|Physical Damage|500|2000|250|250|2020-01-01|1|DC_COV039|2020-01-01|2020-01-01
COV040|Pet Injury Coverage|Auto|Additional|1000|1000|0|0|2020-01-01|1|DC_COV040|2020-01-01|2020-01-01
COV041|Flood Homeowners|Homeowners|Flood|20000|250000|1000|5000|2020-01-01|1|DC_COV041|2020-01-01|2020-01-01
COV042|Earthquake|Homeowners|Earthquake|10000|500000|2500|10000|2020-01-01|1|DC_COV042|2020-01-01|2020-01-01
COV043|Ordinance or Law|Homeowners|Additional|10000|100000|500|2000|2020-01-01|1|DC_COV043|2020-01-01|2020-01-01
COV044|Umbrella Personal|Homeowners|Umbrella|1000000|5000000|0|0|2020-01-01|1|DC_COV044|2020-01-01|2020-01-01
COV045|Jewelry and Furs|Homeowners|Inland Marine|5000|50000|250|500|2020-01-01|1|DC_COV045|2020-01-01|2020-01-01
COV046|Hired Auto Liability|Commercial|Auto|100000|1000000|1000|5000|2020-01-01|1|DC_COV046|2020-01-01|2020-01-01
COV047|Non-Owned Auto Liability|Commercial|Auto|100000|1000000|0|0|2020-01-01|1|DC_COV047|2020-01-01|2020-01-01
COV048|Contractors Equipment|Commercial|Inland Marine|25000|500000|1000|5000|2020-01-01|1|DC_COV048|2020-01-01|2020-01-01
COV049|Pollution Liability|Commercial|Pollution|250000|5000000|10000|50000|2020-01-01|1|DC_COV049|2020-01-01|2020-01-01
COV050|Product Liability|Commercial|Liability|500000|5000000|5000|25000|2020-01-01|1|DC_COV050|2020-01-01|2024-10-25
